comuna,confirmados
Arica,653
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,919
Camiña,4
Colchane,1
Huara,31
Iquique,1447
Pica,51
Pozo Almonte,69
Antofagasta,1550
Calama,486
María Elena,157
Mejillones,262
Ollagüe,0
San Pedro de Atacama,8
Sierra Gorda,14
Taltal,33
Tocopilla,32
Alto del Carmen,0
Caldera,7
Chañaral,1
Copiapó,135
Diego de Almagro,12
Freirina,1
Huasco,1
Tierra Amarilla,24
Vallenar,56
Andacollo,13
Canela,2
Combarbalá,14
Coquimbo,202
Illapel,25
La Higuera,1
La Serena,186
Los Vilos,4
Monte Patria,43
Ovalle,137
Paiguano,2
Punitaqui,14
Río Hurtado,5
Salamanca,19
Vicuña,14
Algarrobo,42
Cabildo,18
Calera,64
Calle Larga,44
Cartagena,46
Casablanca,26
Catemu,10
Concón,66
El Quisco,51
El Tabo,41
Hijuelas,18
Isla de Pascua,5
Juan Fernández,0
La Cruz,28
La Ligua,15
Limache,94
Llaillay,54
Los Andes,146
Nogales,16
Olmué,17
Panquehue,8
Papudo,7
Petorca,15
Puchuncaví,15
Putaendo,26
Quillota,80
Quilpué,226
Quintero,79
Rinconada,34
San Antonio,389
San Esteban,20
San Felipe,129
Santa María,30
Santo Domingo,41
Valparaíso,593
Villa Alemana,172
Viña del Mar,724
Zapallar,3
Alhué,7
Buin,540
Calera de Tango,93
Cerrillos,994
Cerro Navia,1596
Colina,1451
Conchalí,2010
Curacaví,272
El Bosque,1654
El Monte,152
Estación Central,2305
Huechuraba,1285
Independencia,2923
Isla de Maipo,88
La Cisterna,1012
La Florida,4550
La Granja,2622
La Pintana,2861
La Reina,735
Lampa,989
Las Condes,2436
Lo Barnechea,1179
Lo Espejo,1295
Lo Prado,1129
Macul,1684
Maipú,3765
María Pinto,50
Melipilla,693
Ñuñoa,1940
Padre Hurtado,378
Paine,273
Pedro Aguirre Cerda,1314
Peñaflor,446
Peñalolén,4207
Pirque,289
Providencia,1201
Pudahuel,2288
Puente Alto,6698
Quilicura,3091
Quinta Normal,1548
Recoleta,3623
Renca,1675
San Bernardo,2877
San Joaquín,1874
San José de Maipo,222
San Miguel,1687
San Pedro,37
San Ramón,1698
Santiago,6278
Talagante,276
Tiltil,121
Vitacura,712
Chépica,8
Chimbarongo,19
Codegua,9
Coinco,14
Coltauco,25
Doñihue,32
Graneros,45
La Estrella,0
Las Cabras,15
Litueche,11
Lolol,3
Machalí,49
Malloa,4
Marchihue,0
Mostazal,16
Nancagua,13
Navidad,11
Olivar,20
Palmilla,3
Paredones,2
Peralillo,3
Peumo,7
Pichidegua,11
Pichilemu,9
Placilla,7
Pumanque,1
Quinta de Tilcoco,2
Rancagua,354
Rengo,38
Requínoa,20
San Fernando,34
San Vicente,45
Santa Cruz,15
Cauquenes,63
Chanco,4
Colbún,33
Constitución,35
Curepto,13
Curicó,279
Empedrado,0
Hualañé,21
Licantén,2
Linares,84
Longaví,31
Maule,52
Molina,23
Parral,72
Pelarco,21
Pelluhue,10
Pencahue,12
Rauco,12
Retiro,19
Río Claro,16
Romeral,32
Sagrada Familia,6
San Clemente,60
San Javier,54
San Rafael,48
Talca,329
Teno,12
Vichuquén,0
Villa Alegre,6
Yerbas Buenas,28
Bulnes,178
Chillán,601
Chillán Viejo,100
Cobquecura,0
Coelemu,21
Coihueco,53
El Carmen,17
Ninhue,10
Ñiquén,11
Pemuco,11
Pinto,15
Portezuelo,7
Quillón,55
Quirihue,20
Ránquil,10
San Carlos,71
San Fabián,8
San Ignacio,26
San Nicolás,26
Treguaco,1
Yungay,62
Alto Biobío,88
Antuco,16
Arauco,63
Cabrero,29
Cañete,14
Chiguayante,108
Concepción,321
Contulmo,0
Coronel,159
Curanilahue,7
Florida,5
Hualpén,159
Hualqui,43
Laja,62
Lebu,3
Los Álamos,2
Los Ángeles,236
Lota,54
Mulchén,20
Nacimiento,37
Negrete,39
Penco,37
Quilaco,0
Quilleco,2
San Pedro de la Paz,197
San Rosendo,2
Santa Bárbara,34
Santa Juana,3
Talcahuano,206
Tirúa,4
Tomé,85
Tucapel,12
Yumbel,27
Angol,157
Carahue,53
Cholchol,7
Collipulli,29
Cunco,29
Curacautín,8
Curarrehue,4
Ercilla,16
Freire,66
Galvarino,17
Gorbea,20
Lautaro,78
Loncoche,41
Lonquimay,61
Los Sauces,2
Lumaco,11
Melipeuco,5
Nueva Imperial,55
Padre Las Casas,154
Perquenco,5
Pitrufquén,47
Pucón,36
Purén,9
Renaico,25
Saavedra,87
Temuco,830
Teodoro Schmidt,10
Toltén,16
Traiguén,9
Victoria,93
Vilcún,91
Villarrica,31
Corral,13
Futrono,34
La Unión,44
Lago Ranco,2
Lanco,9
Los Lagos,22
Máfil,3
Mariquina,16
Paillaco,25
Panguipulli,12
Río Bueno,16
Valdivia,174
Ancud,84
Calbuco,8
Castro,8
Chaitén,1
Chonchi,0
Cochamó,1
Curaco de Vélez,0
Dalcahue,6
Fresia,0
Frutillar,12
Futaleufú,1
Hualaihué,3
Llanquihue,6
Los Muermos,2
Maullín,15
Osorno,369
Palena,0
Puerto Montt,133
Puerto Octay,5
Puerto Varas,18
Puqueldón,0
Purranque,62
Puyehue,9
Queilén,0
Quellón,1
Quemchi,13
Quinchao,1
Río Negro,32
San Juan de la Costa,34
San Pablo,12
Aisén,4
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,8
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,13
Porvenir,9
Primavera,1
Punta Arenas,1009
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
